materials_id,formula,spacegroup,formation_energy_ev,e_above_hull_ev,band_gap_ev,nsites,density_gm_cc,volume,has_bandstructure,crystal_system,stability_category,density_volume_index,formation_energy_ev_normalized,e_above_hull_ev_normalized,band_gap_ev_normalized,nsites_normalized,density_gm_cc_normalized,volume_normalized,formation_energy_ev_standardized,e_above_hull_ev_standardized,band_gap_ev_standardized,nsites_standardized,density_gm_cc_standardized,volume_standardized,e_above_hull_ev_log,band_gap_ev_log,nsites_log,density_gm_cc_log,volume_log,Cluster
mp-849394,Li2MnSiO4,Pc,-2.699,0.006,3.462,16,2.993,178.513,True,Monoclinic,Low,0.0167662859287558,0.2939362795477906,0.031578947368421,0.9055715406748628,0.0491803278688524,0.3963018490754624,0.0400581836308046,-0.4470480684502561,-1.7188568913872304,1.2697784397191745,-0.9886904794556272,0.0254552423541618,-0.9897689524411208,0.0059820716775474,1.4955970960103406,2.833213344056216,1.3845428280810843,5.190247628704214,0
mp-783909,Li2MnSiO4,P21/c,-2.696,0.008,2.879,32,2.926,365.272,True,Monoclinic,Low,0.008010468910839,0.2970195272353546,0.0421052631578947,0.7530735024849595,0.180327868852459,0.3628185907046479,0.1738139284049134,-0.4307026474323212,-1.652949502925644,0.7327915137461323,-0.2960197018054953,-0.1641070263639026,-0.3507142046283873,0.0079681696491768,1.3555773884578302,3.49650756146648,1.3676210958542694,5.903376226786637,0
mp-761311,Li4MnSi2O7,Cc,-2.775,0.012,3.653,28,2.761,301.775,True,Monoclinic,Low,0.0091492005633336,0.2158273381294964,0.0631578947368421,0.9555323044729273,0.1475409836065573,0.2803598200899551,0.128337734347751,-0.8611320675713204,-1.5211347260024712,1.445703830561114,-0.4691873962180282,-0.6309394791770486,-0.5679891917608154,0.0119285708652738,1.5375121728625116,3.367295829986474,1.3246848794881994,5.712989955407114,0
mp-761598,Li4Mn2Si3O10,C2/c,-2.783,0.013,3.015,38,2.908,436.183,True,Monoclinic,Low,0.0066669264964475,0.2076053442959917,0.0684210526315789,0.7886476589066179,0.2295081967213114,0.3538230884557722,0.2245999875382179,-0.9047198569524852,-1.4881810317716782,0.8580577606283514,-0.0362681601866958,-0.2150342030344283,-0.1080698810769186,0.0129162252665463,1.390037347398725,3.6635616461296463,1.3630257341805363,6.08035187174035,0
mp-767709,Li2Mn3Si3O10,C2/c,-2.747,0.016,2.578,36,3.334,421.286,True,Monoclinic,Low,0.0079138637410215,0.2446043165467628,0.0842105263157894,0.6743395239340831,0.2131147540983606,0.5667166416791607,0.2139308399742456,-0.7085748047372441,-1.3893199490792985,0.4555478349847502,-0.1228520073929623,0.9902423115013306,-0.1590446591500839,0.0158733491562901,1.2748039850865274,3.610917912644224,1.4664909031141673,6.045682809602536,0
mp-761517,Li4MnSi2O7,C2,-2.763,0.024,3.293,14,2.792,149.207,True,Monoclinic,Low,0.0187122588082328,0.2281603288797535,0.1263157894736842,0.8613654198273608,0.0327868852459016,0.2958520739630184,0.0190693913565365,-0.7957503834995734,-1.1256903952329531,1.1141167064611226,-1.0752743266618936,-0.5432315638000342,-1.0900486628668564,0.023716526617316,1.4569857892424236,2.70805020110221,1.3328935843927754,5.012014342771374,0
mp-850949,LiMnSiO4,P21,-2.65,0.027,1.052,28,3.507,291.575,False,Monoclinic,Low,0.0120277801594786,0.3442959917780062,0.1421052631578947,0.2751765629087104,0.1475409836065573,0.6531734132933535,0.1210325517504148,-0.1800728584906231,-1.0268293125405734,-0.9500131410613248,-0.4691873962180282,1.4797090650569322,-0.6028917047732533,0.0266419309464211,0.7188149273085231,3.367295829986474,1.5056317437085112,5.67872104406083,0
mp-853204,Li2MnSiO4,P21/c,-2.676,0.029,3.384,32,2.927,365.179,False,Monoclinic,Low,0.0080152473170691,0.317574511819116,0.1526315789473684,0.8851687156683233,0.180327868852459,0.3633183408295852,0.1737473223282906,-0.3217331739794095,-0.9609219240789872,1.1979345628308424,-0.2960197018054953,-0.161277738771096,-0.3510324334235008,0.0285874568519125,1.4779615496457146,3.49650756146648,1.3678757755958726,5.903122284883357,0
mp-767360,LiMn(SiO3)2,C2/c,-2.822,0.038,0.612,20,3.255,218.36,True,Monoclinic,Low,0.0149065762960249,0.1675231243576567,0.2,0.1600837038974627,0.0819672131147541,0.5272363818090955,0.068596380783359,-1.1172103301856635,-0.6643386760018485,-1.3552862927390923,-0.8155227850430942,0.7667285916695814,-0.8534198900875313,0.0372957847436968,0.4774756440844365,3.044522437723423,1.4480947620253375,5.390714215814004,0
mp-764791,Li2Mn(SiO3)2,Cc,-2.823,0.04,3.447,22,2.7,271.853,True,Monoclinic,Low,0.0099318381625363,0.1664953751284685,0.2105263157894737,0.9016479204812976,0.0983606557377049,0.2498750624687657,0.1069077663401536,-1.1226588038583083,-0.5984312875402621,1.2559623095483412,-0.7289389378368277,-0.8035260223382721,-0.6703767402273021,0.0392207131532812,1.4922297115285594,3.1354942159291497,1.308332819650179,5.608933188624023,0
